symbol,date,price,volume
AAPL,2026-02-13,255.78,56290673
AAPL,2026-02-12,261.73,81077229
AAPL,2026-02-11,275.5,51931300
AAPL,2026-02-10,273.68,34376900
AAPL,2026-02-09,274.62,44623400
AAPL,2026-02-06,278.12,50453414
AAPL,2026-02-05,275.91,52977441
AAPL,2026-02-04,276.49,90545710
AAPL,2026-02-03,269.48,64394700
AAPL,2026-02-02,270.01,73913425
AAPL,2026-01-30,259.48,92443408
AAPL,2026-01-29,258.28,67253009
AAPL,2026-01-28,256.44,41288000
AAPL,2026-01-27,258.27,49648300
AAPL,2026-01-26,255.41,55969234
AAPL,2026-01-23,248.04,41689000
AAPL,2026-01-22,248.35,39708340
AAPL,2026-01-21,247.65,54641725
AAPL,2026-01-20,246.7,80267517
AAPL,2026-01-16,255.53,72142800
AAPL,2026-01-15,258.21,39388600
AAPL,2026-01-14,259.96,40019421
AAPL,2026-01-13,261.05,45730847
AAPL,2026-01-12,260.25,45263800
AAPL,2026-01-09,259.37,39997000
AAPL,2026-01-08,259.04,50419337
AAPL,2026-01-07,260.33,48309804
AAPL,2026-01-06,262.36,52352100
AAPL,2026-01-05,267.26,45647200
AAPL,2026-01-02,271.01,37838100
AAPL,2025-12-31,271.86,27293639
AAPL,2025-12-30,273.08,22139617
AAPL,2025-12-29,273.76,23715213
AAPL,2025-12-26,273.4,21521802
AAPL,2025-12-24,273.81,17910600
AAPL,2025-12-23,272.36,29642000
AAPL,2025-12-22,270.97,36571827
AAPL,2025-12-19,273.67,144632048
AAPL,2025-12-18,272.19,51630721
AAPL,2025-12-17,271.84,50138743
AAPL,2025-12-16,274.61,37648628
AAPL,2025-12-15,274.11,50409100
AAPL,2025-12-12,278.28,39532900
AAPL,2025-12-11,278.03,33248000
AAPL,2025-12-10,278.78,33038318
AAPL,2025-12-09,277.18,32193300
AAPL,2025-12-08,277.89,38211832
AAPL,2025-12-05,278.78,47265845
AAPL,2025-12-04,280.7,43989100
AAPL,2025-12-03,284.15,43538700
AAPL,2025-12-02,286.19,53669532
AAPL,2025-12-01,283.1,46587722
AAPL,2025-11-28,278.85,20135620
AAPL,2025-11-26,277.55,33431423
AAPL,2025-11-25,276.97,46914220
AAPL,2025-11-24,275.92,65585800
AAPL,2025-11-21,271.49,59030832
AAPL,2025-11-20,266.25,45823600
AAPL,2025-11-19,268.56,40424500
AAPL,2025-11-18,267.44,45677300
AAPL,2025-11-17,267.46,45018300
AAPL,2025-11-14,272.41,47431331
AAPL,2025-11-13,272.95,49602800
AAPL,2025-11-12,273.47,48398000
AAPL,2025-11-11,275.25,46208318
AAPL,2025-11-10,269.43,41312412
AAPL,2025-11-07,268.47,48227400
AAPL,2025-11-06,269.77,51204045
AAPL,2025-11-05,270.14,43683100
AAPL,2025-11-04,270.04,49274846
AAPL,2025-11-03,269.05,50194600
AAPL,2025-10-31,270.37,86167123
AAPL,2025-10-30,271.4,69886534
AAPL,2025-10-29,269.7,51086742
AAPL,2025-10-28,269,41534800
AAPL,2025-10-27,268.81,44888200
AAPL,2025-10-24,262.82,38253717
AAPL,2025-10-23,259.58,32754941
AAPL,2025-10-22,258.45,45015300
AAPL,2025-10-21,262.77,46695948
AAPL,2025-10-20,262.24,90483029
AAPL,2025-10-17,252.29,49147000
AAPL,2025-10-16,247.45,39777000
AAPL,2025-10-15,249.34,33893611
AAPL,2025-10-14,247.77,35478000
AAPL,2025-10-13,247.66,38142942
AAPL,2025-10-10,245.27,61999100
AAPL,2025-10-09,254.04,38322012
AAPL,2025-10-08,258.06,36496900
AAPL,2025-10-07,256.48,31955800
AAPL,2025-10-06,256.69,44664118
AAPL,2025-10-03,258.02,49155614
AAPL,2025-10-02,257.13,42630239
AAPL,2025-10-01,255.45,48713940
AAPL,2025-09-30,254.63,37704300
AAPL,2025-09-29,254.43,40127700
AAPL,2025-09-26,255.46,46076300
AAPL,2025-09-25,256.87,55202100
AAPL,2025-09-24,252.31,42303710
AAPL,2025-09-23,254.43,60275200
AAPL,2025-09-22,256.08,105517416
AAPL,2025-09-19,245.5,163741314
AAPL,2025-09-18,237.88,44249600
AAPL,2025-09-17,238.99,46508017
AAPL,2025-09-16,238.15,63421100
AAPL,2025-09-15,236.7,42699524
AAPL,2025-09-12,234.07,55824216
AAPL,2025-09-11,230.03,50208600
AAPL,2025-09-10,226.79,83440810
AAPL,2025-09-09,234.35,66313918
AAPL,2025-09-08,237.88,48999500
AAPL,2025-09-05,239.69,54870400
AAPL,2025-09-04,239.78,47549429
AAPL,2025-09-03,238.47,66427835
AAPL,2025-09-02,229.72,44075638
AAPL,2025-08-29,232.14,39418437
AAPL,2025-08-28,232.56,38074700
AAPL,2025-08-27,230.49,31259513
AAPL,2025-08-26,229.31,54575107
AAPL,2025-08-25,227.16,30983133
AAPL,2025-08-22,227.76,42477811
AAPL,2025-08-21,224.9,30621249
AAPL,2025-08-20,226.01,42263900
AAPL,2025-08-19,230.56,39402600
AAPL,2025-08-18,230.89,37476200
AAPL,2025-08-15,231.59,56038700
AAPL,2025-08-14,232.78,51916300
AAPL,2025-08-13,233.33,69878546
AAPL,2025-08-12,229.65,55672301
AAPL,2025-08-11,227.18,61806132
AAPL,2025-08-08,229.35,113854000
AAPL,2025-08-07,220.03,90224834
AAPL,2025-08-06,213.25,108483103
AAPL,2025-08-05,202.92,44155100
AAPL,2025-08-04,203.35,75109300
AAPL,2025-08-01,202.38,104434500
AAPL,2025-07-31,207.57,80698431
AAPL,2025-07-30,209.05,45512514
AAPL,2025-07-29,211.27,51411723
AAPL,2025-07-28,214.05,37858017
AAPL,2025-07-25,213.88,40268800
AAPL,2025-07-24,213.76,46022620
AAPL,2025-07-23,214.15,46989301
AAPL,2025-07-22,214.4,46404100
AAPL,2025-07-21,212.48,51377434
AAPL,2025-07-18,211.18,48974600
AAPL,2025-07-17,210.02,48068141
AAPL,2025-07-16,210.16,47490532
AAPL,2025-07-15,209.11,42296339
AAPL,2025-07-14,208.62,38840111
AAPL,2025-07-11,211.16,39765812
